YearBuilt1,count
1457,1
1880,6
1888,1
1890,1
1898,5
1900,38
1901,1
1902,1
1905,2
1910,2
1912,1
1914,4
1915,2
1916,1
1917,1
1919,7
1920,13
1922,2
1923,3
1924,1
1925,5
1926,1
1928,3
1930,20
1931,4
1932,1
1933,2
1934,1
1935,3
1936,7
1939,1
1940,9
1941,3
1942,6
1943,1
1944,1
1945,7
1947,7
1948,3
1949,2
1950,25
1951,3
1952,1
1953,3
1954,2
1955,6
1956,5
1957,8
1958,10
1959,6
1960,28
1961,6
1962,8
1963,12
1964,6
1965,13
1966,5
1967,2
1968,11
1969,8
1970,31
1971,3
1972,5
1973,5
1974,3
1975,12
1976,4
1977,4
1978,1
1979,6
1980,6
1981,1
1982,3
1983,2
1984,1
1985,1
1986,1
1987,6
1988,4
1989,5
1990,12
1991,7
1992,9
1993,6
1994,6
1995,2
1996,5
1997,5
1998,8
1999,4
2000,1
2001,3
2002,10
2003,2
2004,2
2005,3
2006,1
2007,1
2008,4
2009,3
2010,1
2011,3
2012,2
2014,2
2015,2
2016,1
2017,1
2018,1
2019,1
2020,2
2021,1
