YearBuilt1,count
1880,4
1890,2
1898,1
1900,10
1909,1
1910,1
1915,1
1916,1
1919,3
1920,1
1925,1
1931,2
1933,1
1935,1
1936,6
1940,5
1941,2
1942,2
1943,2
1945,4
1947,3
1949,1
1950,1
1951,1
1953,1
1955,1
1956,1
1957,1
1958,1
1959,2
1960,5
1961,5
1962,3
1964,2
1965,3
1967,1
1968,4
1969,1
1970,5
1972,1
1973,2
1974,5
1975,1
1978,3
1979,4
1980,2
1981,1
1982,1
1983,1
1986,1
1987,2
1988,1
1989,2
1990,8
1991,6
1992,4
1993,3
1994,2
1995,3
1996,3
1997,2
1998,3
1999,4
2000,2
2001,3
2003,1
2004,1
2005,1
2006,1
2008,1
2009,1
2010,2
2015,1
2021,2
