OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
20725,2001,3,8,1052.61,85.0,21.1,28
21272,1880,9,8,188.57,325.0,10.26,61
23050,2012,3,8,83.78,310.0,0.0,28
23589,2024,3,8,2284.19,175.0,20.21,61
23598,1999,3,8,1321.01,125.0,90.77,28
23662,1952,3,8,9027.41,355.0,inf,28
23818,1955,3,8,187.45,350.0,77.61,28
23849,1890,3,8,103.2,280.0,11.86,31
23852,1890,3,8,133.09,280.0,11.87,31
23924,2014,3,8,80.51,80.0,0.0,26
24129,2011,3,8,100.01,160.0,0.0,28
24144,2002,3,8,55.73,40.0,0.0,28
24203,1880,3,8,434.88,105.0,7.1,26
24288,1989,3,8,418.05,190.0,27.2,61
24353,1998,3,8,247.34,260.0,9.59,28
24479,1930,3,8,129.19,350.0,9.7,28
24774,1963,3,8,121.61,165.0,30.36,28
24902,2000,3,8,50.46,155.0,2.42,28
24938,1992,3,8,489.36,170.0,22.32,61
24996,1990,3,8,314.75,180.0,23.83,64
25162,1939,3,8,63.46,170.0,9.86,29
25323,2001,3,8,1540.67,170.0,27.43,28
25644,2002,3,8,117.86,70.0,4.95,26
25651,2002,3,8,447.36,90.0,11.61,61
25665,1998,3,8,524.25,85.0,25.47,28
25850,1997,3,8,435.17,225.0,139.82,28
25904,2003,3,8,915.05,95.0,11.03,28
25909,2009,6,8,1249.13,100.0,27.46,28
25977,2002,6,8,261.82,260.0,9.83,63
26631,1919,3,8,111.45,75.0,13.91,61
26696,1996,3,8,1306.45,350.0,16.01,28
26701,2021,3,8,1664.68,165.0,16.91,61
26773,1960,3,8,104.68,170.0,24.69,28
26847,1996,3,8,1251.94,75.0,137.61,28
26993,1930,3,8,111.53,175.0,71.06,26
27197,1969,3,8,72.63,170.0,9.49,26
27233,1966,3,8,184.2,260.0,16.41,61
27729,1934,3,8,150.79,75.0,27.93,61
28027,1990,3,8,685.38,95.0,13.89,61
28068,1954,3,8,241.41,125.0,12.27,26
28585,2001,3,8,1559.45,345.0,30.55,26
29359,1984,3,8,123.44,170.0,14.06,28
29439,1975,3,8,142.13,80.0,15.91,26
29518,1980,3,8,87.6,170.0,24.94,28
29686,1997,3,8,583.76,160.0,28.61,26
29697,2009,3,8,451.65,345.0,0.0,26
29730,1980,3,8,288.84,135.0,83.34,26
29977,1996,3,8,402.31,190.0,17.42,28
30716,1960,3,8,113.94,345.0,11.81,28
31535,1987,3,8,697.54,280.0,5.76,61
32483,1972,3,8,411.28,80.0,14.96,61
32488,2000,3,8,300.26,260.0,14.9,62
32489,2000,3,8,271.61,260.0,14.9,62
33134,2018,3,8,,80.0,0.0,28
33448,1950,3,8,72.66,75.0,11.82,28
33614,1992,3,8,97.92,75.0,7.99,26
33856,1964,3,8,117.52,255.0,12.43,28
34037,1969,3,8,112.35,255.0,11.71,28
34182,1960,3,8,174.53,0.0,15.06,28
34192,1960,3,8,127.1,165.0,12.01,29
34197,1973,3,8,,80.0,30.58,61
34199,1975,3,8,1225.65,170.0,75.19,61
34212,1962,3,8,137.27,170.0,30.21,26
34807,1970,3,8,60.99,255.0,11.94,28
34962,1968,3,8,232.21,75.0,8.07,28
35279,1998,3,8,448.79,125.0,12.03,26
35400,1991,3,8,,75.0,21.06,61
35496,1970,3,8,182.86,35.0,11.85,26
35579,1958,3,8,108.58,305.0,26.45,28
35774,2002,3,8,423.0,95.0,48.34,26
35782,2017,9,8,,75.0,59.01,61
36196,1989,3,8,,250.0,65.64,32
36255,1999,3,8,120.35,305.0,38.16,28
36291,1970,3,8,239.2,345.0,96.34,28
36423,1995,3,8,89.1,100.0,10.86,28
36548,1983,3,8,608.24,10.0,11.81,26
36952,1990,3,8,334.39,10.0,31.71,26
37014,1971,6,8,247.94,280.0,20.04,26
37367,1999,3,8,,115.0,59.33,28
37663,1975,3,8,102.18,10.0,12.19,26
