OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea
1699,1880,6,2,1051
1700,1990,3,2,4195
1701,2000,3,2,51
1702,1880,12,2,2041
1703,1950,9,2,1178
1704,1984,3,3,461
1705,2000,6,N,0
1706,1906,9,2,2434
1707,2000,3,3,143
1708,1975,6,2,213
1710,2000,3,N,0
1711,1960,3,2,37
1712,1964,6,2,257
1713,1968,3,2,915
1714,1958,6,2,247
1715,1974,3,2,316
1716,2012,3,2,95
1717,2000,3,2,60
1718,1975,6,2,540
1719,1994,6,2,26
1720,2000,3,N,0
1721,1990,3,2,53
1722,1990,3,2,250
1723,2000,3,2,249
1724,1990,3,2,32
1725,1975,3,2,350
1726,1978,6,2,698
1727,2004,3,2,68
1728,1984,3,2,85
1729,1995,3,2,95
1730,1975,6,2,1606
1731,1994,3,2,273
1732,1990,6,2,541
1733,1968,3,2,324
1734,1985,6,2,188
1735,1989,6,2,347
1736,1975,3,2,550
1737,2012,3,2,126
1738,2006,3,2,51
1739,1960,6,2,141
1740,1980,3,2,132
1741,1972,3,2,521
1742,1955,3,2,87
1744,1965,3,2,496
1746,1985,6,2,266
1747,2012,3,2,131
1748,1995,3,2,55
1749,1970,3,2,40
1750,1995,3,2,68
1751,2000,6,2,126
1752,1984,6,2,296
1753,1984,3,2,69
1754,2003,3,3,1016
1755,2000,3,N,0
1756,1995,3,2,38
1757,2000,3,N,0
1758,2006,3,2,74
1759,1970,6,2,98
1760,1960,9,2,431
1761,1967,3,2,110
1762,1991,6,2,303
1763,1995,3,2,110
1764,1940,6,2,168
1765,1978,3,2,449
1766,1995,3,2,673
1767,1974,6,2,255
1768,2000,0,N,0
1769,1990,3,2,164
1770,1975,6,2,2474
1771,1959,6,2,1430
1772,2006,3,2,187
1773,1960,9,2,4031
1774,1960,6,2,474
1775,1980,3,2,2552
1777,2010,3,2,30
1778,1975,6,2,175
1779,2000,3,2,66
1780,2000,3,N,0
1781,1955,9,2,439
1782,1960,6,2,149
1783,1985,3,2,85
1784,1960,3,2,78
1785,1978,3,2,218
1786,1993,6,2,818
1787,1960,6,2,317
1788,2000,3,2,780
1789,1990,6,2,100
1790,1975,6,2,432
1791,1995,6,2,89
1792,2013,3,3,731
1793,1940,3,2,486
1794,1990,6,2,107
1795,1975,6,2,193
1796,1980,6,2,161
1797,1980,6,2,241
1798,1918,9,2,1384
1799,1940,9,2,9065
1800,2000,3,N,0
1801,1948,9,2,1819
1802,1984,3,2,649
1803,1980,9,2,516
1804,1980,3,2,181
1805,1978,6,2,353
1806,1970,3,2,18
1807,1960,3,2,46
1808,2001,3,2,72
1809,2001,6,2,268
1810,2001,3,2,90
1811,1960,3,2,42
1812,1997,3,2,581
1813,1965,3,2,224
1814,1994,3,2,140
1815,1965,3,2,243
1816,1985,3,2,263
1817,1950,6,3,10970
1818,1880,9,2,3104
1819,1992,3,2,544
1820,1965,3,2,68
1821,1965,3,2,179
1822,1960,3,2,227
1823,1965,3,2,180
1824,1965,3,2,26
1825,1985,3,2,56
1826,1987,3,2,192
1827,1920,12,4,14358
1828,2000,3,N,0
1829,2000,3,N,0
1830,1895,6,2,568
1831,1905,6,2,964
1840,1982,6,4,55
1843,1960,3,3,46
1863,1982,3,3,45
1903,1981,3,3,108
1913,2004,3,4,37
1925,1985,3,3,28
1926,1960,3,3,35
1942,1982,3,4,59
1973,1976,3,3,51
1990,1980,6,4,277
2006,1980,6,3,23
2012,1980,3,3,265
2017,1980,3,3,105
2039,2008,3,4,103
2042,2004,3,4,377
2069,1960,3,3,20
2080,1970,3,3,79
2124,1995,3,3,35
2139,2000,3,3,88
2151,2000,3,N,0
2197,2000,0,N,0
2305,2000,0,N,0
2347,2000,0,N,0
2356,1970,6,3,169
2366,1980,3,3,40
2368,1980,6,3,40
2390,1985,3,3,9
2428,1980,3,4,57
2442,1975,3,3,48
2463,2006,3,4,119
2474,2000,3,N,0
2490,2015,6,4,7357
2494,2000,3,N,0
2546,1979,3,4,161
2552,2000,3,N,0
2558,2000,3,N,0
2656,1997,3,3,229
2684,1997,3,3,12
2685,1980,3,4,104
2686,1995,3,4,194
2695,2002,3,4,426
2708,1996,3,4,39
2715,2000,0,N,0
2748,1981,3,3,20
2771,2005,9,4,4761
2772,2006,3,3,26
2806,2011,12,4,728
2839,1997,3,3,402
2847,2000,3,N,0
2849,1980,3,4,20
2875,2000,0,N,0
2886,1992,3,3,6554
2897,2000,3,N,0
2900,1980,3,3,31
2910,2000,3,N,0
2928,2000,3,N,0
2939,1999,3,4,1352
2941,1992,3,3,407
2944,1993,6,3,236
2952,2005,6,4,345
2953,2005,9,4,417
2969,1994,12,4,375
2973,1970,3,3,478
2991,1960,3,2,53
2992,1960,3,2,32
2993,1960,6,2,452
2994,1975,3,2,125
2995,1975,6,2,330
2996,1975,9,2,368
2997,1960,3,2,531
2998,2018,9,4,6403
3018,2004,3,4,736
3019,2008,15,4,3778
3042,1987,6,3,720
3043,1980,9,3,970
3054,1987,3,3,77
3093,1982,9,3,1036
3153,1961,6,4,298
3172,1984,6,4,3539
3174,1950,9,3,56
3196,1984,3,4,611
3200,1930,15,4,17573
3201,1980,3,3,19
3207,1970,3,3,175
3214,1958,6,3,319
3215,1970,3,3,362
3227,1972,3,3,152
3228,1970,3,3,130
3290,1963,3,3,22
3303,1959,6,4,217
3320,1965,6,4,700
3345,1952,3,3,88
3451,1962,6,3,264
3467,1974,9,4,4914
3468,1974,3,3,25
3469,1974,3,2,116
3566,2010,9,4,5085
3618,1960,9,4,185
3643,1955,6,3,86
3644,1955,6,3,215
3651,1955,3,4,93
3663,1970,9,4,391
3668,1960,3,3,28
3696,1960,6,N,90
3698,1960,6,N,62
3758,1999,6,4,1248
3759,1965,3,3,18
3760,1965,3,3,66
3788,1963,6,3,224
3827,2000,3,N,0
3832,1970,3,3,48
3871,1998,6,4,230
3875,1993,3,3,736
3876,1900,12,3,12090
3877,1999,3,3,2418
3880,1968,3,4,1042
3886,2000,3,N,0
3887,1900,12,4,416
3893,1954,6,3,174
3910,1960,9,4,2553
3911,1970,3,4,4297
3912,1970,3,4,1568
3929,1991,3,3,1165
3937,1991,3,3,212
4004,1965,3,4,115
4010,1968,3,4,118
4018,1977,15,4,1403
4063,1968,6,4,267
4074,1958,3,3,45
4104,1958,6,4,205
4106,1958,9,4,271
4139,1960,3,3,69
4141,1960,3,4,738
4142,1948,9,3,4391
4143,1986,9,3,5394
4149,1960,9,4,2693
4150,1960,12,4,3647
4152,1971,3,3,131
4161,1970,3,3,210
4168,1964,3,3,19
4169,1964,9,3,6116
4170,1964,9,3,5275
4181,1962,6,3,478
4196,1973,3,3,2909
4197,1973,3,3,45
4198,1973,3,3,415
4199,1973,3,3,1235
4237,1960,3,3,17
4241,1975,6,3,240
4263,1983,12,4,5599
4302,1940,3,3,17
4303,1945,9,3,1589
4307,1960,3,3,135
4312,1992,6,4,2823
4314,1900,3,3,82
4315,1992,6,3,1018
4336,2005,6,4,1286
4364,1960,6,4,181
4387,1962,3,3,922
4393,2004,9,4,1781
4408,1955,6,3,82
4418,1970,3,3,112
4481,1956,3,3,81
4524,1970,3,3,81
4556,1958,9,4,126
4560,1940,9,4,128
4605,1960,6,4,55
4612,1960,6,4,122
4757,1932,6,3,250
4765,1940,6,4,297
4769,1960,6,4,346
4774,1993,6,4,5918
4775,1993,9,4,1061
4778,1979,3,3,18
4788,1931,9,4,243
4810,1940,3,3,71
4811,1940,3,3,132
4816,1991,9,4,270
4844,1960,6,3,206
4859,1989,3,3,786
4871,1955,3,4,912
4872,1960,6,3,206
4874,1990,12,4,777
4933,1965,9,3,968
4934,1987,6,3,1602
4935,1993,6,3,1716
4936,1987,3,3,323
4938,1950,3,3,57
4939,1962,15,4,771
4940,1987,6,4,410
4941,1965,6,4,3489
4942,1965,6,3,2291
4943,1974,6,3,942
4944,1996,3,4,1445
4945,1973,3,3,968
4946,1971,3,3,1396
4947,1972,3,3,308
4948,1979,3,3,475
4949,1993,6,3,216
4951,1962,6,4,244
4952,1968,9,3,364
4953,1973,6,3,267
4954,1972,3,3,195
4955,1972,3,3,480
4956,1988,6,3,1546
4957,1978,3,4,775
4958,1975,3,3,726
4959,1976,6,3,790
4960,1972,6,3,406
4961,1991,6,3,552
4962,1992,6,3,442
4971,1956,12,3,663
4973,1960,9,4,418
4974,1960,12,4,1710
4975,1970,3,3,27
4978,1973,3,3,110
4983,1974,12,4,859
4984,1974,12,4,1133
5026,1990,3,3,190
5029,1952,3,4,72
5049,1964,12,4,1154
5080,1984,3,3,239
5081,1997,3,3,108
5137,1960,3,3,167
5198,1975,9,4,1537
5200,1974,3,3,19
5201,1944,3,3,16365
5202,1944,6,3,43
5229,2000,3,N,0
5249,1999,3,3,245
5254,1996,9,3,7159
5255,1961,3,3,30
5259,1930,3,4,200
5266,1963,3,4,147
5267,1975,3,4,137
5286,1990,6,4,403
5288,1920,6,3,304
5294,1950,3,3,104
5295,1950,3,3,72
5297,1920,6,4,169
5325,1958,9,4,183
5387,1930,9,3,392
5389,1926,6,3,309
5423,1965,6,4,589
5447,1960,9,4,370
5494,1936,6,4,658
5508,1950,3,3,1078
5515,1956,6,4,320
5516,1965,15,4,1750
5530,1960,6,3,133
5536,1961,9,4,452
5556,1962,3,3,310
5564,1994,3,4,105
5588,1950,6,3,92
5590,1956,3,3,60
5634,1969,6,3,1014
5666,1995,3,4,146
5673,1969,9,3,252
5674,1969,9,3,252
5689,1970,3,4,133
5756,1950,6,4,251
5759,1970,3,3,171
5766,1988,12,3,398
5777,1960,6,3,504
5786,1992,3,3,13803
5863,1970,3,4,115
5886,1955,6,3,125
5914,1992,12,4,527
5917,1973,6,3,254
5931,1962,3,3,263
5965,1965,3,3,260
5974,1940,3,3,60
5978,1945,3,3,820
5982,1950,6,4,230
5985,1960,6,3,295
6004,1925,3,4,137
6006,1925,15,4,965
6023,1920,3,4,142
6024,1924,3,4,149
6029,1990,6,4,429
6033,1988,12,3,1589
6073,1923,3,3,103
6079,1926,9,4,422
6088,1950,9,4,874
6090,1920,9,4,155
6093,1918,3,3,140
6126,1919,6,3,118
6135,1960,6,3,101
6194,1959,6,4,444
6196,1957,3,3,64
6261,1950,6,3,269
6262,1962,6,3,493
6267,1940,12,3,1595
6268,1975,6,3,278
6283,1950,3,3,266
6286,1962,9,3,849
6298,1970,3,4,706
6304,1940,15,3,632
6328,1934,3,3,612
6335,1966,3,3,80
6347,1909,3,3,2024
6348,1909,3,3,240
6349,1909,3,3,516
6350,1909,3,3,127
6351,1909,3,3,521
6352,1909,3,3,139
6353,1909,3,3,392
6354,1909,0,3,132
6355,1909,6,3,5559
6356,1909,3,3,418
6357,1909,3,3,979
6358,1909,3,3,368
6359,1909,3,3,787
6360,1909,3,3,693
6361,1988,3,3,1399
6364,1940,3,3,43
6365,1940,3,3,85
6366,1940,3,3,249
6367,1940,3,3,771
6368,1940,3,3,600
6369,1937,12,3,1428
6370,1937,6,3,3224
6371,1937,3,3,80
6372,1937,6,3,878
6373,1937,3,3,761
6405,2006,6,4,588
6413,1971,3,3,23
6433,1900,3,2,8754
6434,2000,9,4,6042
6435,1900,6,2,479
6436,1900,3,2,65
6467,1966,6,4,291
6474,1950,9,3,117
6498,1993,6,3,222
6505,1958,3,N,99
6514,1973,9,4,142
6576,1981,3,4,5462
6581,1960,6,3,1091
6586,1960,3,3,564
6603,1965,3,3,19
6617,1975,3,3,152
6620,1992,3,3,360
6633,1994,3,3,41
6634,1960,6,3,357
6635,1960,6,3,315
6639,1965,6,3,747
6640,2003,3,3,193
6687,1960,6,3,504
6688,1933,6,3,938
6689,1933,3,4,216
6693,1950,3,3,147
6710,1996,3,3,224
6711,1982,3,4,164
6754,1940,3,3,38
6764,1943,6,3,296
6773,1965,3,3,21
6777,1923,6,3,168
6782,1972,3,3,275
6783,1993,3,3,269
6792,1988,12,4,1222
6798,1956,6,3,264
6800,1969,15,4,1710
6817,1922,3,4,159
6848,1930,3,3,297
6920,1956,6,3,865
6932,1961,3,4,125
6936,1958,9,4,473
6946,1951,6,3,69
6951,1890,9,4,2550
6969,2002,12,4,699
6971,1960,3,3,10
6973,1960,3,4,730
6993,1960,3,3,175
7005,1960,6,3,235
7015,1990,9,4,240
7034,1996,12,4,4733
7035,2003,12,4,593
7050,1920,6,4,120
7051,2001,3,3,8539
7059,1950,9,3,949
7060,1950,6,3,2104
7061,1950,9,3,872
7062,1950,9,3,1363
7063,1950,6,3,578
7064,1950,9,3,924
7065,1950,6,3,838
7066,1940,3,3,550
7067,1940,3,3,1173
7068,1940,3,3,801
7069,1940,3,3,559
7070,1940,3,3,571
7071,1940,3,3,550
7072,1940,12,3,8435
7073,1900,3,3,741
7074,1975,3,3,75
7079,1960,9,4,355
7095,1960,3,4,176
7097,1960,9,3,3939
7206,1968,6,4,189
7273,1970,9,4,174
7276,1991,6,3,530
7282,1958,12,4,471
7284,1957,3,3,463
7285,1960,3,3,454
7286,1950,6,4,167
7288,2008,12,3,720
7291,1968,6,4,238
7294,1970,9,4,879
7318,1958,9,3,484
7319,1948,6,4,58
7390,1970,12,4,1241
7392,1995,3,3,1375
7397,1960,3,3,16
7398,1930,9,4,1193
7425,1945,12,3,362
7427,1970,3,3,12
7429,1935,3,4,155
7430,1950,9,3,280
7476,1959,6,4,1314
7477,1959,3,3,47
7478,1941,9,3,258
7479,1951,6,3,1311
7480,1971,3,3,16
7481,1943,6,3,215
7488,1959,9,3,873
7501,1974,6,3,318
7516,1950,18,3,9602
7522,1968,3,4,181
7536,1972,3,3,249
7604,1963,24,4,975
7608,1951,3,3,102
7620,1982,9,4,255
7679,1940,6,3,850
7724,1914,6,4,568
7738,1949,21,4,3487
7747,1940,3,3,32
7771,2007,9,4,1559
7772,2000,9,N,0
7773,2011,3,4,98
7781,1942,3,3,123
7785,1974,3,3,128
7797,1932,3,3,16
7808,1970,6,4,307
7846,1946,12,3,440
7868,1930,9,3,275
7874,1910,3,3,67
7901,1965,15,4,7580
7902,2006,3,4,516
7903,1965,12,4,2676
7921,1965,6,3,393
7926,1965,6,4,231
7940,1940,3,4,89
7944,1930,3,4,80
7988,1916,3,3,142
8012,1970,3,4,124
8030,1970,3,3,16
8072,1992,6,4,3551
8093,1990,9,4,2020
8161,1966,9,3,329
8239,1930,3,4,105
8251,1961,9,4,628
8255,1978,6,4,1033
8264,1960,3,3,16
8301,1987,3,3,127
8330,1960,6,3,307
8344,1987,9,4,760
8345,1978,3,3,202
8346,1974,3,3,17
8347,1979,3,3,178
8368,1989,15,4,706
8373,1950,18,3,6594
8374,1930,9,3,549
8381,1960,3,3,10
8388,1940,3,4,93
8400,1970,3,3,202
8405,1930,3,3,134
8454,1950,6,3,1125
8461,1940,3,3,34
8482,1950,6,4,91
8500,1980,9,4,5654
8501,1980,3,3,88
8505,1991,18,4,4034
8506,2003,3,4,496
8512,1953,9,3,1109
8515,1950,6,4,106
8522,1920,9,4,468
8549,1958,3,4,254
8565,1960,3,3,225
8573,1975,9,4,549
8576,1961,6,4,315
8618,1991,12,4,4765
8619,1968,3,3,19
8636,1960,6,4,164
8637,1968,6,4,170
8658,2008,3,4,63
8659,1988,6,4,1170
8664,1970,9,4,165
8665,1963,3,4,77
8667,1970,6,4,196
8671,1968,12,4,782
8675,1933,9,4,946
8679,1933,9,4,301
8687,1960,9,3,364
8690,1990,12,4,384
8699,1953,12,4,740
8708,1951,3,4,150
8709,1948,9,3,199
8737,1949,6,4,155
8766,1940,6,3,3592
8773,1949,6,3,596
8813,1975,27,4,6757
8820,1953,15,4,22880
