OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea
33,1972,3,4.0,1958
37,1994,6,4.0,4693
146,1968,6,4.0,17733
147,1969,6,4.0,4732
577,1989,6,4.0,2662
580,1992,3,4.0,5060
583,1996,6,4.0,204
1659,2010,15,4.0,8535
4788,1931,9,4.0,243
4939,1962,15,4.0,771
4983,1974,12,4.0,859
4984,1974,12,4.0,1133
5049,1964,12,4.0,1154
6088,1950,9,4.0,874
6932,1961,3,4.0,125
6936,1958,9,4.0,473
7429,1935,3,4.0,155
7738,1949,21,4.0,3487
8344,1987,9,4.0,760
8576,1961,6,4.0,315
8618,1991,12,4.0,4765
8637,1968,6,4.0,170
8679,1933,9,4.0,301
8690,1990,12,4.0,384
8699,1953,12,4.0,740
9198,1983,9,4.0,713
9322,1973,24,4.0,11824
9348,1909,9,4.0,221
9398,1965,6,4.0,207
9411,1962,12,4.0,467
9419,1991,18,4.0,1002
9473,1919,9,4.0,602
9539,1998,24,4.0,1847
9591,1990,12,4.0,206
9592,1990,12,4.0,206
9616,1990,24,4.0,1789
9617,1945,9,4.0,292
9628,2001,21,4.0,23169
10151,1979,24,4.0,1178
10173,1900,9,4.0,196
10193,1960,12,4.0,942
10555,1964,12,4.0,1812
10607,1960,12,4.0,283
10610,1998,21,4.0,5608
10623,1936,9,4.0,469
10630,1978,12,4.0,539
10633,1978,15,4.0,659
10641,1959,9,4.0,1074
10652,1936,12,4.0,364
10664,1936,12,4.0,389
10665,1936,15,4.0,476
10671,1947,18,4.0,1629
10692,1942,9,4.0,296
10700,1942,9,4.0,306
10914,1945,9,4.0,286
11209,1951,6,4.0,600
11224,1987,15,4.0,676
11241,1962,12,4.0,1234
11246,1936,15,4.0,1359
11278,1960,15,4.0,2515
11319,1919,9,4.0,132
11340,1890,6,4.0,170
11850,1943,6,4.0,150
11924,1981,15,4.0,587
11936,1925,9,4.0,298
11960,1956,15,4.0,3477
11971,1900,12,4.0,677
11978,1900,12,4.0,1371
11989,1940,18,4.0,421
12011,1898,12,4.0,384
12019,1997,12,4.0,798
12073,1890,12,4.0,253
12154,2009,15,4.0,8515
12254,1940,9,4.0,1505
12425,1974,6,4.0,792
12429,1974,6,4.0,1270
12760,1943,9,4.0,401
12780,1992,9,4.0,259
12792,1957,9,4.0,915
12808,1947,12,4.0,1212
12821,1880,12,4.0,218
12826,1947,15,4.0,469
12888,1931,12,4.0,272
12891,1940,6,4.0,286
12912,1900,6,4.0,296
12926,2006,12,4.0,402
12959,1945,9,4.0,222
13279,1900,9,4.0,4117
13376,1900,9,4.0,635
13392,1994,12,4.0,303
13446,1900,6,4.0,953
13461,1900,9,4.0,741
13466,1980,24,4.0,2707
13480,1980,6,4.0,309
13514,1940,9,4.0,633
13827,1998,9,4.0,463
13828,2021,9,4.0,1245
13925,1995,6,4.0,159
13934,1900,12,4.0,648
13938,1941,12,4.0,1485
13943,1941,9,4.0,909
13998,1940,6,4.0,1512
14017,1936,9,4.0,365
14056,1945,9,4.0,208
14080,1990,6,4.0,120
14239,1880,9,4.0,238
14371,1960,6,4.0,759
14869,1916,9,4.0,310
14885,1900,9,4.0,4528
14992,1968,18,4.0,548
15439,1990,6,4.0,2434
15504,1880,6,4.0,272
15506,1961,3,4.0,219
16106,1880,6,4.0,206
16344,1961,9,4.0,473
16630,1968,18,4.0,5221
16631,1915,9,4.0,1186
16822,1955,6,4.0,426
17119,1920,3,4.0,482
17736,1910,3,4.0,174
18311,1975,6,4.0,2609
18626,1959,12,4.0,15640
18629,1996,9,4.0,1211
18822,1990,21,4.0,1379
19020,1992,15,4.0,287
19199,1960,3,4.0,213
19205,1995,6,4.0,1842
19210,2000,6,4.0,5059
19213,1999,6,4.0,2346
20001,1997,6,4.0,3620
20648,1986,12,4.0,5449
20650,1999,6,4.0,5246
20692,1961,6,4.0,412
20829,1999,12,4.0,269
20840,1979,9,4.0,988
20844,2001,9,4.0,1372
20874,1979,12,4.0,634
21279,1982,6,4.0,416
21804,1995,12,4.0,852
21865,1967,18,4.0,5324
21916,1999,21,4.0,454
22081,1993,6,4.0,8373
22554,1970,12,4.0,1619
22555,1965,12,4.0,2705
22601,2021,9,4.0,7436
22730,1973,6,4.0,600
22744,1993,6,4.0,716
23365,1993,6,4.0,414
23553,2004,15,4.0,24637
23555,2005,15,4.0,31662
23620,1991,9,4.0,6157
23968,1965,3,4.0,78
24170,1988,6,4.0,2428
24280,1970,3,4.0,234
24320,1970,6,4.0,9249
24323,2003,9,4.0,7728
24325,2008,9,4.0,7109
24332,1991,3,4.0,5010
24335,1974,6,4.0,2992
24386,1996,3,4.0,45453
24635,2010,15,4.0,7346
24689,1991,6,4.0,4661
24697,1979,9,4.0,2850
24700,1989,6,4.0,9342
24713,1990,6,4.0,640
24729,1970,9,4.0,1368
24741,1978,3,4.0,1354
24752,2015,3,4.0,1760
25035,1970,9,4.0,5129
25055,2001,15,4.0,19172
25113,1992,6,4.0,468
25165,1991,6,4.0,1194
25473,2000,6,4.0,3787
25483,1919,6,4.0,376
