OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
562,1963,3,12,125.97,195.0,6.54,71
566,1955,3,12,,225.0,7.28,48
570,1970,3,12,,115.0,24.64,79
575,2006,3,12,,135.0,42.26,79
577,2009,6,12,145.31,110.0,21.51,48
581,2021,3,12,35.51,195.0,15.78,48
585,2018,3,12,,195.0,7.58,48
589,2018,3,12,,195.0,7.27,48
593,2007,3,12,85.2,345.0,47.49,48
613,2016,3,12,21.51,185.0,38.1,48
625,2004,3,12,68.45,150.0,16.51,48
635,1973,3,12,,35.0,90.72,48
642,1977,3,12,28.65,115.0,0.0,71
645,1993,3,12,290.07,20.0,19.05,71
649,2018,6,12,,60.0,19.9,71
652,2018,3,12,,25.0,64.25,71
660,1990,3,12,215.09,270.0,inf,71
661,1990,3,12,48.61,20.0,19.05,71
663,1990,3,12,50.4,45.0,0.0,71
665,1990,3,12,293.51,50.0,20.36,71
670,1991,3,12,571.28,355.0,38.11,71
672,1990,3,12,74.98,270.0,inf,71
674,1990,3,12,117.96,275.0,inf,71
692,1989,3,12,186.07,80.0,0.0,71
698,1994,6,12,,85.0,17.03,79
699,1996,3,12,99.83,85.0,17.22,71
701,1994,6,12,98.02,85.0,inf,79
706,1978,3,12,76.28,0.0,8.65,79
712,1949,3,12,59.01,90.0,4.07,79
718,1967,3,12,155.21,270.0,10.44,71
722,1968,3,12,70.78,355.0,9.57,48
724,1983,3,12,111.85,355.0,9.75,71
728,1968,3,12,84.43,0.0,10.5,79
730,1969,3,12,23.46,180.0,8.59,79
742,1978,3,12,187.44,175.0,9.7,71
745,1987,3,12,129.37,175.0,10.24,79
747,1979,3,12,218.43,175.0,10.49,48
752,1994,3,12,,170.0,29.88,79
754,2003,3,12,850.33,170.0,22.22,48
757,1980,3,12,117.64,355.0,9.14,71
759,1978,3,12,109.81,355.0,9.19,71
762,1989,3,12,207.79,355.0,9.3,71
764,2017,3,12,8.75,355.0,9.33,48
771,2005,3,12,437.69,265.0,8.03,48
773,2004,3,12,24.23,355.0,8.92,48
775,1960,3,12,106.09,0.0,72.81,79
778,2004,3,12,,355.0,8.17,79
780,1950,3,12,,80.0,11.53,79
787,1968,3,12,52.65,265.0,7.92,71
788,1980,3,12,106.22,175.0,11.21,79
794,1970,3,12,116.19,80.0,14.32,71
797,1982,3,12,156.11,80.0,12.02,48
799,1982,6,12,133.95,80.0,11.84,48
803,2002,3,12,147.52,175.0,8.34,71
807,1972,6,12,27.32,175.0,8.19,48
809,1980,3,12,140.34,265.0,8.18,71
814,1967,3,12,128.06,265.0,8.42,48
816,1967,3,12,133.94,270.0,8.49,79
818,1970,3,12,129.17,270.0,8.67,71
821,1993,3,12,,270.0,8.08,79
827,2006,3,12,292.96,265.0,8.29,48
830,2006,6,12,292.42,265.0,53.44,79
835,1979,3,12,,90.0,8.41,71
836,1995,3,12,187.08,265.0,8.01,48
