OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
22303,1997,3,9,,200.0,7.09,47
22309,1976,3,9,442.29,200.0,7.07,47
22351,1936,3,9,51.18,335.0,4.89,47
22371,1900,3,9,1140.44,170.0,12.21,47
22511,1936,3,9,3.46,250.0,6.15,47
22898,1978,3,9,151.32,355.0,11.88,47
23084,1895,3,9,66.52,15.0,6.45,70
23227,1974,3,9,1393.1,90.0,8.34,47
23246,1880,3,9,136.6,260.0,13.68,47
23259,2000,9,9,1286.37,100.0,8.28,47
23260,1999,3,9,677.74,255.0,8.16,47
23261,1999,15,9,1553.84,80.0,12.91,47
23275,2000,3,9,,190.0,53.92,70
23339,2002,3,9,318.44,260.0,9.89,47
23478,1996,3,9,146.88,155.0,12.87,47
23531,1966,3,9,419.58,175.0,29.81,47
23557,1997,3,9,459.3,175.0,11.82,47
23613,2006,3,9,,355.0,9.93,70
23781,1959,3,9,98.0,305.0,12.83,47
24243,1890,3,9,21.38,175.0,2.43,70
24471,2002,3,9,293.75,350.0,9.87,47
24630,1995,3,9,157.55,145.0,25.16,47
24653,1940,3,9,72.31,150.0,6.86,70
24781,1966,3,9,,165.0,30.41,47
24916,1999,3,9,2627.74,75.0,35.46,75
25325,2001,3,9,1540.67,170.0,27.43,47
25339,2006,6,9,1208.14,355.0,10.38,54
25354,1994,3,9,1164.26,10.0,34.66,47
25654,1973,3,9,1062.91,350.0,9.78,47
25658,1981,3,9,378.7,345.0,16.11,47
25779,1946,3,9,484.96,95.0,14.17,47
25966,1961,3,9,132.65,170.0,9.96,47
26412,1954,3,9,55.06,75.0,0.0,47
26770,1975,3,9,385.27,170.0,19.43,47
26864,1978,3,9,80.71,180.0,9.13,47
26880,1994,3,9,119.85,10.0,29.73,70
26883,1941,3,9,69.1,180.0,9.34,70
27300,1987,3,9,257.31,350.0,7.95,47
27999,1976,3,9,159.16,125.0,19.9,47
28190,1994,3,9,67.83,170.0,9.93,47
28583,1996,3,9,220.39,25.0,101.67,70
28670,2004,6,9,143.53,255.0,9.9,70
28671,1996,3,9,242.29,345.0,9.75,47
28702,1988,3,9,109.67,255.0,9.92,47
28704,1978,3,9,137.1,255.0,9.93,47
