OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea
21142,1988,6,2.0,206.91
21194,1945,3,2.0,71.15
21232,1990,3,2.0,55.74
21276,1975,3,2.0,267.41
21380,1880,3,2.0,867.65
21602,1935,3,2.0,137.78
21662,1960,6,2.0,472.42
21726,2023,3,2.0,787.13
21752,1995,3,2.0,1516.27
21822,1987,3,2.0,511.44
21829,1987,3,2.0,243.71
21833,1998,3,2.0,252.21
21952,2003,3,2.0,2057.94
21994,2010,6,2.0,981.76
21997,2011,3,2.0,304.34
22218,1885,3,2.0,69.15
22256,2004,3,2.0,242.93
22294,1900,3,2.0,468.78
22356,1916,3,2.0,133.0
22358,1940,3,2.0,297.36
22360,1962,3,2.0,160.58
22377,1967,3,2.0,1495.86
22630,2007,3,2.0,2065.79
22637,1960,3,2.0,202.15
22701,2006,3,2.0,662.03
23166,1990,3,2.0,
23229,1900,3,2.0,111.21
23232,2001,3,2.0,110.0
23245,1880,3,2.0,68.75
23247,1961,3,2.0,225.2
23273,2000,3,2.0,183.2
23482,1989,3,2.0,602.6
23663,1952,3,2.0,8960.91
23667,2008,3,2.0,
23670,2010,15,2.0,2613.64
24156,2008,3,2.0,118.95
24204,1880,3,2.0,317.22
24354,1998,3,2.0,231.2
24488,1930,6,2.0,485.71
24533,1961,3,2.0,165.76
24681,1998,3,2.0,
24765,1962,3,2.0,29.06
24943,1968,3,2.0,1079.6
24987,1919,3,2.0,235.05
24990,1925,3,2.0,248.41
25231,1955,3,2.0,212.73
25637,1920,3,2.0,55.38
25910,2009,6,2.0,1225.42
26136,1986,3,2.0,
26289,1976,3,2.0,157.6
26397,1993,3,2.0,1481.97
26437,1969,3,2.0,135.48
26496,1974,3,2.0,89.19
26702,2021,3,2.0,1664.68
26803,1978,3,2.0,345.43
26935,1965,3,2.0,297.67
26956,1949,3,2.0,255.16
27181,1995,3,2.0,171.72
27209,1988,3,2.0,168.62
27326,1991,3,2.0,557.79
27348,1979,12,2.0,5822.0
27354,1980,6,2.0,812.03
27355,1976,3,2.0,310.0
27362,1975,3,2.0,378.89
27405,1965,3,2.0,145.87
27783,1997,3,2.0,1762.93
27788,1996,6,2.0,295.93
27919,1972,3,2.0,582.18
27945,1989,3,2.0,104.68
27956,2024,3,2.0,191.52
27993,2017,3,2.0,83.65
28046,1993,3,2.0,858.26
28055,1999,3,2.0,
28060,1990,18,2.0,240.99
28331,1992,3,2.0,70.87
28545,2016,9,2.0,743.14
28549,1980,3,2.0,367.84
28551,1981,3,2.0,22.95
28567,1960,3,2.0,199.82
28571,2022,9,2.0,9622.87
28577,2009,6,2.0,1854.81
28580,2009,3,2.0,1175.24
28582,2000,3,2.0,667.84
28589,2005,9,2.0,
28594,2000,3,2.0,
