OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
1648,1982,3,10,163.91,5.0,66.97,67
1652,2002,3,10,194.28,5.0,65.08,73
1654,2004,3,10,156.23,5.0,66.37,73
1661,2020,3,10,52.9,175.0,6.5,73
1664,1983,3,10,133.16,175.0,6.48,67
1692,2019,3,10,146.2,5.0,10.24,73
1698,1994,3,10,84.74,350.0,10.46,73
1701,2004,3,10,112.54,350.0,10.29,73
1709,1973,3,10,95.59,20.0,21.28,67
1726,1981,3,10,83.15,175.0,41.55,73
1730,1990,3,10,135.74,175.0,40.27,73
1733,1983,3,10,118.88,180.0,39.99,73
1738,1994,3,10,155.1,195.0,45.62,73
1745,1978,3,10,128.19,345.0,6.48,67
1748,2004,3,10,108.11,345.0,6.22,73
1755,1982,3,10,104.12,345.0,6.34,67
1758,1983,3,10,127.35,345.0,6.32,73
1762,1983,3,10,79.27,25.0,13.16,67
1765,1983,3,10,,130.0,10.42,73
1771,1970,3,10,125.76,140.0,15.71,73
1774,1985,3,10,150.81,150.0,10.34,67
1781,1982,3,10,162.5,170.0,10.34,67
1785,1984,3,10,,185.0,10.2,73
1787,1999,3,10,158.28,185.0,10.28,73
1792,1988,3,10,124.8,315.0,10.45,73
1796,1970,3,10,118.09,0.0,10.27,73
1811,1999,3,10,,345.0,6.58,73
1822,1984,3,10,9.0,65.0,6.58,73
1827,2004,3,10,93.99,65.0,6.32,73
1830,1980,3,10,157.75,65.0,6.39,67
1833,1981,3,10,140.99,80.0,46.6,73
1837,2015,3,10,139.65,235.0,33.31,73
1841,1982,3,10,71.48,235.0,10.27,67
1843,1987,3,10,116.97,235.0,9.98,73
1847,2005,3,10,96.19,235.0,10.0,73
1851,1977,3,10,,275.0,114.84,73
1853,2000,3,10,111.03,355.0,10.37,73
1862,2002,3,10,96.8,175.0,6.32,73
1870,1982,3,10,187.59,90.0,22.75,73
1875,2004,3,10,124.57,105.0,6.75,73
1877,1960,3,10,46.99,105.0,6.65,67
1885,2023,3,10,86.1,225.0,36.49,73
1889,2002,3,10,98.09,285.0,10.41,73
1891,2000,3,10,101.79,285.0,10.79,73
1896,2004,3,10,142.16,285.0,12.61,73
1898,1983,3,10,150.82,285.0,12.35,67
1907,2006,3,10,82.43,105.0,6.47,73
1910,1980,3,10,,95.0,6.33,67
1913,1982,3,10,83.76,95.0,6.34,67
1916,1975,3,10,35.4,95.0,6.4,67
1922,1991,3,10,96.68,275.0,12.45,73
1925,1970,3,10,64.02,275.0,21.78,67
1950,1977,3,10,127.44,70.0,6.1,67
