label,index
5,6700
1,6491
1,16626
1,4605
4,4594
2,22948
5,8911
5,8612
5,8583
1,4906
5,16925
5,11046
0,3065
1,6803
3,14820
1,13143
3,1160
3,18734
3,183
1,212
4,5569
3,24347
1,5429
3,24207
1,24196
2,8752
4,3125
3,11106
2,11297
5,16865
0,4846
1,1020
0,13003
1,13392
1,14960
3,6943
5,18674
4,352
4,18977
2,6640
4,14663
2,4745
2,16766
2,22808
2,8851
1,2249
4,17898
2,23467
2,21562
4,19689
2,19518
3,21843
3,19839
2,24025
2,23946
4,17628
3,22529
1,11324
2,3307
0,3096
4,8570
4,170
4,18456
3,13221
3,1202
3,1193
4,14441
5,6462
3,25349
1,16544
3,4567
4,23645
0,10048
2,5908
0,21740
3,23705
1,23494
3,5848
0,10299
0,10108
3,21600
2,21591
5,6522
3,14501
1,14690
0,18984
5,25198
5,25209
2,4427
3,16404
0,16795
2,22469
3,16896
4,3247
2,11264
4,8430
0,18516
5,18687
1,14993
1,1342
1,13361
2,21903
1,19979
4,23806
0,24165
0,17768
4,16987
4,11375
1,3356
2,22578
0,8521
4,18407
3,18796
0,121
0,14882
1,13270
3,1253
4,21812
5,19868
4,17679
3,23917
3,24074
1,5959
5,10388
3,10019
3,23614
0,23585
3,21711
1,21480
4,14410
3,6433
5,14781
4,18895
5,16515
0,4536
5,16684
2,25089
2,25318
3,6573
2,14550
4,4476
1,16455
1,25258
5,10159
3,5819
1,23754
4,21651
2,21952
5,19928
1,17739
1,24134
0,23857
4,3216
1,11235
4,3187
0,22438
1,8461
4,18547
1,1313
3,13330
0,1082
0,21641
2,23744
1,5809
4,10149
2,25248
5,16445
0,4466
4,14540
3,6563
0,1092
0,13320
4,1303
3,18557
1,8471
2,22428
0,3197
4,11225
3,3206
2,23847
3,24124
4,17729
4,19938
3,21942
3,24064
4,23907
0,17669
2,19878
2,21802
2,1243
2,13260
2,14892
3,131
3,18786
0,18417
4,8531
3,22568
3,3346
1,11365
1,16997
0,25308
2,25099
5,16694
3,4526
1,16505
4,18885
0,14791
3,6423
4,14400
4,21490
1,21701
3,23595
2,23604
3,10009
5,10398
4,5949
4,16785
1,16414
2,4437
4,25219
3,25188
5,18994
1,14680
3,14511
2,6532
2,21581
3,21610
5,10118
4,10289
3,5858
2,23484
4,23715
2,17778
3,24175
0,23816
0,19969
2,21913
2,13371
1,1352
3,14983
2,18697
1,18506
4,8420
3,11274
4,3257
3,16886
3,22479
3,1183
3,1212
1,13231
0,18446
1,160
1,8560
0,3086
4,3317
1,11334
3,22539
4,17638
2,23956
3,24035
5,19829
1,21853
2,21750
1,5918
2,10058
4,23655
3,4577
1,16554
2,25359
3,6472
5,14451
5,342
5,18664
4,6953
3,14970
1,13382
0,13013
2,1030
3,4856
1,16875
2,11287
4,11116
2,3135
3,8742
1,24186
1,24217
2,5439
2,19508
4,19699
2,21572
2,23477
1,17888
3,2259
0,8841
2,22818
1,16776
3,4755
0,14673
1,6650
5,18967
4,8901
1,22958
4,4584
3,4615
4,16636
3,6481
3,6710
1,14733
0,18827
4,19448
3,21432
3,23537
2,2319
2,2088
3,24357
5,5579
1,202
4,193
1,18724
3,1170
3,13153
1,14830
0,6813
0,3075
4,11056
4,16935
2,4916
4,8593
5,8602
2,5468
3,24246
4,18635
3,313
4,13042
