label,index
0,14474
0,9629
2,15489
2,23973
0,11080
2,145
2,4956
0,14870
4,24317
0,21472
1,8941
2,6581
1,4816
2,14821
3,11107
0,10049
3,23644
0,25348
0,22528
0,13220
4,17629
1,24164
2,11265
3,14992
1,14500
4,16405
2,21601
0,23615
2,10018
0,23916
0,120
4,18556
2,1302
2,13321
0,3207
4,11224
2,3196
2,16444
2,22478
1,24174
3,23714
3,25189
3,14510
2,21751
0,22538
2,1031
3,18725
2,6711
0,23427
0,312
3,252
2,4946
3,16666
0,21462
3,11090
2,24391
3,11241
0,23631
3,295
2,24280
0,13137
1,24333
0,23553
2,6634
0,326
4,13166
4,8637
0,16603
2,14497
1,20928
0,16840
0,22120
3,20025
2,579
3,5202
0,9184
2,25591
2,25600
4,10501
0,15375
4,10882
0,25812
0,25480
2,10550
2,12455
0,1819
0,6358
3,25473
3,7034
1,10931
3,22353
3,809
2,10632
1,7065
1,22093
2,23369
2,12461
3,19216
2,19187
3,24698
3,24509
0,22005
2,25826
1,5267
3,9361
2,10535
4,12430
3,7273
2,22114
2,9143
0,18309
0,7051
2,1
4,20262
4,5294
2,19615
4,20692
2,3228
2,17496
0,22546
3,4788
1,10136
1,20552
0,20630
2,22735
3,5786
1,20873
2,4938
1,15560
3,19437
0,2366
0,25044
2,5590
0,22523
3,10042
1,9616
3,25192
2,21909
0,25083
3,19621
4,9496
3,21479
0,12274
4,9525
3,10371
1,17983
0,20655
2,309
4,8709
3,22750
3,14638
0,12225
0,9574
1,8618
0,5423
1,15505
0,22701
0,25161
4,9434
3,17892
3,4141
2,21366
0,556
3,1764
1,13844
4,16022
0,27
3,21337
1,16133
4,11850
0,11753
0,24683
0,1735
2,13815
3,24730
2,13534
3,1686
0,3880
3,21115
3,16080
3,18312
4,20368
2,24761
4,85
0,21395
4,8374
3,1406
4,1797
3,20228
1,1701
2,1802
3,13821
3,11924
3,1942
2,13
0,2428
1,11767
2,1641
1,18015
0,1750
3,14113
3,13930
0,1913
2,25858
0,562
2,21170
2,25579
3,22088
0,24584
0,24755
2,10629
0,22348
2,3566
0,8251
2,13500
3,24704
0,2849
0,21061
3,952
4,16265
0,17119
3,24714
0,25478
1,6353
0,8301
2,13541
0,581
0,3467
0,24745
0,4196
4,6093
3,25569
4,10668
3,24605
0,24594
2,22098
4,11504
2,16146
3,1903
3,5198
1,572
2,13623
3,1740
0,1843
3,16286
2,1651
2,1711
2,1480
0,4074
0,13831
0,1812
2,1787
3,1556
4,18302
4,16181
3,21385
0,95
3,12499
2,21294
3,1696
0,24720
3,12648
2,16241
2,6367
1,1725
3,24693
3,1826
3,13805
0,37
3,1665
0,3760
3,406
1,1774
0,3832
3,1634
0,22480
3,22711
1,7536
2,15515
2,25171
3,7476
4,20754
0,13159
3,22740
0,13048
0,20645
3,21469
3,22600
3,8659
3,6848
3,7427
1,7846
4,15865
0,25182
0,22533
0,21859
4,17632
0,15834
0,25054
3,5516
2,24338
0,12190
2,18819
0,24229
2,22725
2,11128
2,20620
0,10244
1,23968
0,22696
3,18478
3,12023
1,25227
2,7771
0,5674
4,25276
2,19605
3,17717
3,17486
4,15931
4,25256
2,17925
0,22527
1,15663
4,16898
2,25207
4,12003
3,10106
4,9570
2,25165
3,22705
3,11108
4,7522
2,4959
1,5536
0,24318
0,2356
0,25074
2,20651
2,17851
3,6689
3,17612
1,17492
0,19611
4,7926
3,17800
0,25322
3,6798
3,22542
3,21509
2,19573
3,14599
0,279
1,8679
0,25040
2,20826
3,7516
0,20634
2,22731
0,21418
4,9544
3,11971
2,3651
0,1754
0,24573
0,7318
4,13637
3,566
4,13934
0,1806
0,21247
1,1705
3,11763
4,13666
4,1645
0,17
3,24640
3,6196
0,4302
1,6347
0,24700
3,8255
4,20098
0,24580
0,8344
0,9028
0,21174
2,24751
1,11757
1,1671
1,3877
3,23
1,19349
0,2558
2,19209
2,19198
2,13811
3,3937
2,13712
3,1731
2,24687
0,11497
1,18074
3,552
0,5229
1,72
4,1863
4,8012
0,1760
2,21391
2,3696
4,1793
3,6262
4,16344
1,6373
2,1682
0,24734
3,2939
3,16084
0,4336
2,10619
1,23004
0,16094
0,24724
0,17129
4,1692
0,24635
0,1783
2,91
0,4237
3,14080
1,18306
0,793
0,1770
1,62
1,13801
1,1822
2,19188
4,19219
3,24697
2,1721
2,13493
0,11596
2,1661
0,21323
0,33
1,4104
3,14325
2,24741
1,20348
1,585
0,13405
2,754
3,24590
3,24601
4,16360
1,857
4,21075
0,6357
4,13514
3,18363
3,24710
0,15158
3,4312
2,21135
4,1655
3,11773
4,1816
0,13835
2,1715
1,576
3,56
1,4161
0,21197
4,1744
3,14498
1,20927
4,22721
2,6969
3,20624
0,20735
2,12254
0,25050
3,14589
2,25110
0,12085
4,13078
2,12136
2,22552
1,9824
2,10173
2,19601
3,20894
0,22692
3,1228
0,21869
4,7724
3,17742
2,20546
0,12027
0,2197
2,22744
0,20641
2,24248
1,19885
1,4949
0,23568
2,25175
1,12371
2,19994
3,24219
1,11118
0,22715
3,20750
4,18829
4,16638
0,25035
2,22477
0,12013
2,25186
3,10056
3,7481
3,22537
1,7902
0,23909
0,19624
1,17736
2,20532
2,22526
4,12002
3,2124
1,16899
0,16629
1,15440
3,24199
0,11298
2,11109
3,22704
2,25164
4,17897
3,12271
0,24319
2,4958
2,11018
0,20650
4,11158
4,17454
0,6688
2,17850
2,17910
2,12067
0,19610
0,17801
1,17493
3,1268
0,9676
0,2390
4,17941
2,14598
0,19572
0,10200
0,25041
4,17520
0,7797
4,20635
2,22730
0,25010
2,20876
1,15474
2,12888
0,24572
0,1755
0,6135
2,14056
2,4170
3,11733
0,567
2,7319
0,1704
0,1807
1,6024
2,16
1,11762
0,1644
1,13667
2,4303
2,714
3,24701
0,9029
0,21175
2,8345
1,20219
3,24750
1,18323
2,22
0,21332
0,1973
2,3876
2,11756
1,1670
2,24686
0,1730
0,13810
4,11915
0,19199
3,19208
1,3827
3,553
2,1761
4,4004
0,10709
0,21390
4,2969
2,11525
0,1792
1,18257
0,24735
2,17138
0,1683
2,6372
4,10589
0,25509
0,2928
0,13461
3,11564
3,8330
0,1693
1,24725
0,1990
3,1782
0,2839
1,18307
1,22278
2,11475
1,90
1,1771
3,792
0,1720
3,24696
2,19218
0,19189
3,1823
2,13800
1,19358
0,32
0,1660
0,584
2,615
0,24740
4,21025
2,16221
3,24600
3,24591
3,20209
1,13795
3,24711
2,13515
2,11781
1,6356
2,21134
1,18222
3,16283
4,14017
4,13974
3,1654
0,24533
0,1714
1,3912
2,13834
0,1817
0,13925
3,57
4,13626
1,577
0,21196
2,11960
4,14499
1,17421
0,22720
3,20625
2,19533
0,25051
2,12084
1,14588
0,22553
3,15757
3,20984
3,10172
4,2151
2,19600
1,9825
3,17483
0,21868
1,17592
0,22693
0,20895
3,10123
0,5863
2,25222
2,22745
4,20640
2,2347
2,4948
2,22594
4,20700
3,15790
2,24309
1,22714
2,11119
2,4859
0,19995
3,24218
4,9421
0,12370
1,25174
0,25034
3,25187
2,22536
3,7480
1,19826
4,17637
2,10057
3,5917
1,9592
4,9603
2,15831
3,7903
4,19937
2,5494
2,23908
0,22567
1,10397
4,17706
4,7620
1,18578
0,19614
3,22547
3,4418
0,5634
0,15712
2,15483
2,20413
2,20631
2,22734
3,4939
1,5556
3,20872
4,10195
2,20660
1,5447
2,24329
3,25045
1,9617
0,10043
0,22522
1,15666
2,12006
3,17860
0,15874
2,19620
0,308
2,20654
0,22751
4,8708
4,188
1,13148
0,8619
0,10261
0,25160
0,22700
2,15504
0,557
0,1926
3,11800
1,13845
3,14126
0,885
2,1765
2,11752
2,1674
0,26
1,13814
3,13486
0,1734
3,24682
0,967
0,8264
2,1687
0,24731
3,16081
3,21394
2,24760
3,18313
3,1796
0,6267
1,13820
0,1803
0,11925
0,24527
2,8072
0,1700
2,1640
1,5249
0,12
3,16106
0,1751
2,24576
0,25859
0,563
0,43
0,22089
2,1433
1,25578
0,21171
3,1573
3,601
3,24754
3,4307
4,24705
3,25479
1,6352
4,14371
4,24715
0,24655
2,4197
0,24744
3,580
2,22099
0,24604
4,10669
1,11997
3,573
1,16147
4,1741
4,3644
4,5259
3,1650
1,11776
2,1813
2,13830
0,1710
0,1786
0,11531
1,9398
3,21384
3,18303
2,21295
0,837
3,4263
3,6366
0,24721
0,1697
0,13804
3,1827
2,24692
0,1724
1,1664
0,36
1,6004
2,4010
3,1775
3,4150
2,22813
0,25170
0,17883
1,15514
0,17780
0,22710
2,13018
3,209
0,7477
1,12234
1,9474
3,22741
0,20644
3,17440
3,8658
3,22601
3,258
3,20807
2,7604
2,17870
2,25183
0,15835
3,21858
3,22532
1,4978
0,24339
1,5985
3,25055
2,16718
0,24279
1,18818
4,12200
1,9411
3,10245
0,22724
1,20621
0,22697
1,25226
2,4408
2,19744
1,15753
0,22557
2,17487
2,19604
0,12073
1,17686
3,15783
3,18629
3,20653
4,2305
0,10326
1,20841
2,17797
1,15503
3,22707
2,25167
0,22525
3,25345
2,23649
2,23498
1,24169
0,9853
0,23618
2,12050
3,20636
3,1018
2,22733
2,17432
1,15477
0,25042
2,14849
0,19613
2,9735
1,13308
3,17490
0,119
0,22540
0,17942
3,17853
1,148
3,21176
0,8346
3,13417
0,24582
1,12938
3,24753
1,597
0,16232
2,6194
3,13446
2,24702
4,16263
2,1707
3,12448
0,1804
2,13827
1,11761
2,1647
4,1756
3,13876
4,9348
3,564
3,20038
3,24736
0,1680
3,6371
2,3886
0,19029
3,21393
0,1791
3,13423
1,22109
0,550
0,8381
0,1762
1,10528
2,10439
1,21
2,3875
3,11755
0,1673
2,24685
4,18167
2,1733
3,13710
1,13813
4,1830
4,11916
4,1723
3,24695
0,1820
0,13803
1,4106
3,13943
2,31
2,1663
3,1772
4,18126
2,6283
3,10538
3,22119
4,1781
0,18304
3,622
0,21383
3,16307
3,23397
0,1441
0,18355
1,1690
1,24726
2,6361
2,20028
1,574
2,1746
4,3643
3,21195
2,13866
1,6126
0,1657
4,11771
2,1717
3,18143
2,3911
4,1814
2,12458
0,23350
3,24712
3,13687
0,6355
0,21137
3,24743
4,7068
4,6304
0,11990
3,24592
3,24603
3,13796
1,10120
2,21628
0,14529
3,15754
3,2012
1,7874
1,17812
2,19603
2,17480
2,13089
0,25052
3,5982
2,6639
3,15467
1,17422
3,22723
0,1399
3,20626
0,19637
2,16449
4,11229
0,22564
0,23608
0,25184
3,16418
3,23488
2,12011
2,11278
0,22535
0,24039
0,5914
3,17937
1,9591
3,15832
3,22717
2,19996
0,25177
2,25037
3,10336
2,15542
2,22746
2,20643
2,18639
1,9473
0,10367
1,22597
0,19575
2,25046
2,22834
2,20632
3,22737
3,18499
3,24159
2,5777
3,12171
0,15711
3,11318
3,11089
1,17494
1,11209
0,19757
3,5965
0,2006
0,23628
2,22544
0,5666
3,24048
0,25163
2,22703
0,1139
3,5530
1,12276
0,20657
3,25081
0,22570
2,13338
3,19623
1,10151
3,21748
3,22521
4,25190
3,14509
0,21397
4,24763
2,13567
3,18310
3,1795
3,24623
0,1684
1,12959
3,24732
2,727
3,16082
0,11751
2,1677
1,3871
2,23370
0,13817
3,11912
3,1737
1,20119
0,24681
0,554
0,1925
2,4143
2,13846
3,12429
2,3663
2,1766
3,16327
4,11895
2,2748
0,24706
3,14273
0,21172
3,19299
4,14333
2,24757
3,21181
2,25588
0,22079
1,1752
0,24575
3,560
4,18046
1,16154
0,40
2,13823
2,1800
3,10549
0,1703
0,11765
3,1643
2,11
1,10798
1,6023
4,24474
2,1653
2,6033
1,11936
0,1810
2,13833
1,1713
0,22038
1,570
2,21200
4,1742
0,8030
2,24747
3,583
2,752
0,24607
0,24596
2,5029
4,21073
1,6351
4,13980
1,24716
2,4314
2,12439
4,1636
3,13807
0,1824
1,9339
3,24691
0,1727
3,1667
2,35
0,13466
3,12809
0,21296
1,16092
3,6365
0,24722
0,7398
1,1694
3,1785
3,21387
3,24870
2,3451
0,25180
2,9604
2,22531
1,13239
2,22420
0,12044
0,7747
2,22742
0,20647
2,15797
2,7425
0,22593
3,22602
1,14869
3,25173
3,22713
2,1038
3,2080
3,23638
0,7773
1,19844
2,22554
4,11359
0,17484
0,23778
0,10175
2,19607
0,17907
3,11099
2,11308
2,22694
1,20791
1,15490
3,24398
2,24149
1,25225
1,16909
3,4769
0,22727
4,20622
3,3018
4,19425
4,25056
2,20662
2,22864
2,19574
0,25047
2,20633
2,22736
4,5886
3,10257
0,4778
4,19647
2,24158
0,11088
3,11319
4,7921
4,20691
2,17495
0,22545
0,23629
3,12226
1,20844
2,6498
0,20747
1,15446
2,15506
0,22702
0,25162
0,17891
0,8949
4,10372
0,17683
3,15786
2,20656
1,128
4,13279
1,12115
3,19622
1,9584
4,7944
0,12004
3,25191
1,25200
1,14508
2,17761
1,18311
0,12909
1,24762
2,21396
3,14097
4,12849
0,1794
2,12958
2,24733
4,1685
3,16083
2,12818
2,11750
2,1676
0,15359
0,1736
3,13816
1,4142
0,24400
0,555
0,1767
0,12428
0,13847
2,4393
0,24707
1,19389
1,24915
0,21173
2,24756
0,24574
2,22078
2,1753
3,25589
1,25618
0,21180
1,6073
0,8161
0,561
3,1702
3,10548
3,1801
3,13822
4,11764
2,1642
1,21310
0,25488
4,1652
1,18146
4,1712
0,22039
3,13832
3,1811
1,571
0,431
0,1840
3,582
2,24746
0,2708
1,6090
4,16367
4,850
3,21163
3,24597
3,24606
2,13402
2,753
3,24717
1,6350
3,4315
1,14233
0,8093
0,1777
3,6286
1,12438
4,4152
4,18063
2,1637
0,1726
3,24690
3,1825
3,13806
1,6006
0,34
3,11740
0,16093
0,12808
2,1695
0,24723
3,21046
1,3893
4,6364
4,14347
3,16353
2,1784
0,7288
2,7059
0,12919
4,18301
3,6335
0,21386
3,96
0,25181
4,10280
0,22530
1,13238
0,9605
0,12154
0,14409
2,22743
3,20646
0,19550
4,22603
3,22592
2,20497
3,15796
2,17502
3,22712
3,1039
1,20617
2,15516
3,25172
0,22555
1,19845
4,7772
2,9660
4,5974
3,2017
3,23639
1,16478
0,19606
1,17485
4,20681
0,22695
3,11309
3,11098
2,20893
0,17906
4,24148
0,17745
0,5766
1,20860
0,16908
4,7501
0,16848
2,22726
1,20623
3,25057
3,7781
0,5515
2,3019
4,7430
3,15782
4,12273
2,20652
3,22757
3,5564
1,20840
2,25166
4,20592
3,22706
4,15693
1,23648
0,10045
1,9580
0,25344
3,16549
0,22524
2,24168
0,11269
4,7940
0,23619
0,24079
4,11238
1,24139
0,19626
1,12051
0,20637
2,22732
4,17573
2,20874
2,10193
0,25043
2,17491
3,19583
0,19612
3,17943
0,22541
2,21779
1,10071
4,5931
1,149
1,8549
0,24583
2,8347
3,16373
3,24911
0,21177
0,4181
1,596
3,7079
2,24752
3,16322
1,14367
0,4241
0,24703
1,1524
1,13826
0,1805
2,4063
4,12449
2,1706
1,11760
0,1646
1,21095
4,13966
1,16291
0,1757
2,15338
0,565
3,9198
1,6370
2,3887
2,13533
2,1681
0,24737
2,5288
0,19168
0,21392
1,10808
2,1541
0,8373
2,1790
3,6261
4,4364
2,22108
0,551
1,71
0,25768
1,13843
0,10529
4,2998
4,1763
1,11754
0,1672
1,16134
2,1831
2,13812
3,11917
4,11614
1,13711
1,1732
2,13480
3,24684
2,13802
3,1821
1,21260
0,23365
2,1722
3,1662
3,30
3,10539
0,4387
1,1773
0,541
2,22118
0,24636
3,5389
2,1780
1,16357
4,21382
2,18305
2,11477
1,18185
0,5049
2,21293
3,23396
0,14192
2,6360
0,24727
3,1691
1,575
1,20029
2,55
4,23240
3,9188
0,1747
2,20169
2,1656
3,11770
4,12459
0,23351
2,3910
1,11933
0,1815
3,1716
2,23173
0,13985
1,6354
3,24713
4,12838
3,497
0,21136
3,24742
1,7069
1,13797
0,24602
0,24593
2,17902
0,2042
2,15807
3,22691
2,14528
0,21629
0,5673
4,8699
0,22551
2,299
0,13088
3,17481
0,19602
0,1289
1,15437
3,7785
2,19420
0,25053
0,25113
0,21988
0,14918
2,9557
1,9417
4,22722
0,20627
0,1398
4,17724
1,16448
3,12041
3,7901
0,23609
4,15670
3,5756
3,24178
2,12010
0,25185
0,10055
0,15833
4,17635
4,11339
0,22534
2,25176
2,12372
1,15512
2,19997
3,22716
2,25036
2,22747
0,20642
1,15403
3,17697
2,22596
0,25067
3,15222
2,12442
3,10547
1,10796
4,15362
2,12990
2,22077
2,25586
1,9342
2,19324
3,25854
4,22084
0,12872
3,24759
2,7072
1,19157
0,12823
0,24708
3,25860
1,22103
0,1768
3,2993
1,12427
0,12536
0,1679
2,17253
2,1739
2,19201
1,10852
4,2772
3,14189
4,20364
3,10803
0,12906
1,10700
4,12846
0,20224
0,21845
2,8576
3,11322
2,23643
0,21606
4,11262
1,24163
2,1255
1,127
0,23911
0,23612
2,6435
3,21657
2,21954
4,11233
0,21475
3,24081
3,24310
4,4951
3,3172
1,4811
2,20659
2,6586
0,6617
2,18831
4,214
4,20748
3,24341
2,24190
1,16863
3,11100
0,12369
0,19619
0,8981
0,23626
3,16436
1,24157
0,11256
3,1230
3,24386
0,14473
4,22739
3,4874
1,6971
3,24235
2,10258
2,18805
0,23515
3,4934
4,14812
3,6920
4,13060
2,14600
3,14591
1,16705
2,25048
3,8671
2,24324
0,6773
2,23554
2,24334
3,4975
0,21511
2,23785
4,14581
2,6633
2,8933
0,14490
1,1142
3,230
3,16907
0,16847
