label,index
2,12840
0,7291
1,9230
1,17195
0,22105
0,10524
1,19207
2,2952
0,12874
0,12934
0,20034
1,25852
2,8737
0,8515
0,11157
0,4605
2,18547
2,11225
0,21913
1,14673
1,18827
2,8482
0,11300
0,11351
1,8667
2,8636
2,9214
0,9185
1,20164
0,21199
0,25601
0,19390
0,2490
0,2546
1,5266
0,2686
0,11718
0,10656
0,7050
0,12910
2,12801
0,17127
2,22086
2,10685
1,22263
1,9296
0,7015
2,10613
0,13658
0,12534
0,9325
0,11293
1,16680
1,13274
2,3303
1,18584
1,16647
1,13033
1,14482
0,10138
0,21630
0,13091
0,10169
0,11345
0,24054
0,14800
0,18817
2,4765
0,16845
0,5689
0,8820
0,13072
0,16781
1,13235
1,20529
0,6817
2,18823
1,22111
0,12646
0,17123
0,25485
0,2806
2,10666
0,11998
2,9341
0,19327
0,20031
0,25857
1,12905
0,7294
0,12535
0,19202
1,9235
2,8388
0,24313
2,18793
1,21817
1,6467
2,11261
2,15668
2,14743
0,24327
0,24236
0,4774
0,14483
0,23687
0,4556
0,11344
1,16607
2,14493
0,233
1,8870
1,11036
2,16780
0,18991
0,12018
1,11282
1,16930
1,22281
1,22110
0,10636
0,12830
2,10587
2,12841
2,17382
2,2953
0,10970
0,12875
0,17102
0,7206
1,19323
0,9629
1,23973
0,21472
1,4816
0,13220
2,17629
0,11265
0,1302
1,16444
0,6711
0,16603
0,16840
0,22353
0,25826
1,5267
0,9361
0,7273
1,10136
0,21909
2,9496
2,9525
0,9574
0,5423
0,17892
0,21337
0,24683
0,3880
0,14113
0,13930
0,25858
0,22088
0,22348
0,8251
0,21061
2,10668
2,16181
0,12648
0,24693
0,22480
0,7476
0,25182
2,17632
0,5516
0,12190
0,12023
1,25227
0,19605
0,17925
2,15663
2,12003
0,10106
2,7522
2,5536
0,6689
0,17612
2,7926
2,9544
0,3651
2,13666
0,24640
0,8255
0,24687
1,18074
2,8012
0,21323
1,4104
0,14325
1,20348
0,13405
2,16360
1,857
2,21075
0,4312
0,6969
1,9824
0,21869
2,7724
0,20546
0,12027
1,19885
0,25175
2,18829
0,20532
2,12002
1,15440
0,11298
2,17897
2,17454
0,12067
2,17520
0,11733
0,7319
1,6024
1,18323
2,4004
0,10709
2,2969
0,11525
0,17138
2,10589
0,1990
0,32
2,21025
0,24600
1,18222
2,13974
2,17421
0,20984
0,10172
1,9825
0,21868
1,17592
0,15790
0,24309
0,19995
2,9421
1,25174
0,10057
2,19937
0,22567
2,10397
2,7620
1,18578
1,20413
0,20872
2,10195
1,5447
0,24329
1,12006
0,17860
0,19620
2,8708
0,14126
0,24682
0,21394
0,24760
0,11925
0,8072
0,25859
0,43
0,24655
2,10669
1,11997
2,5259
1,11776
1,6004
1,4010
0,17883
0,17780
1,12234
1,9474
0,8658
0,17870
0,24279
1,20621
1,20841
0,17797
1,15503
0,23498
0,1018
1,13308
1,12938
1,597
0,13423
1,22109
2,18167
2,11916
1,4106
0,21383
0,18143
0,11990
1,17812
0,13089
0,5982
0,16449
0,5914
0,19996
0,10367
0,22834
0,15711
0,5666
0,22570
0,13338
0,19623
0,16082
1,3871
0,3663
0,14273
0,24757
0,22079
2,18046
1,6023
2,24474
0,24607
0,5029
2,21073
1,9339
0,7398
0,22420
0,12044
0,20647
0,7773
2,11359
0,19607
1,15490
2,24398
0,4769
0,22736
0,17891
0,15786
1,12115
0,19622
2,9584
2,7944
0,12004
0,12909
2,12849
1,12958
0,15359
0,24400
1,24915
1,21310
0,22039
1,6090
2,16367
2,850
0,24597
0,24606
0,13402
0,753
1,14233
0,8093
2,18063
1,6006
0,16093
0,16353
0,9605
0,20646
0,19550
1,20617
0,25172
1,20860
0,25057
0,5564
2,20592
0,10045
1,9580
0,11269
2,7940
0,19626
1,12051
2,17573
0,21779
1,149
1,8549
0,16373
0,24911
0,7079
0,16322
0,4063
1,16291
0,15338
0,24684
1,21260
0,541
0,24636
1,16357
1,18185
2,23240
0,9188
0,24602
1,17902
0,19420
2,9417
2,17724
0,12041
0,23609
2,15670
0,5756
0,12010
2,17635
2,11339
0,25176
1,15403
1,9342
1,19157
0,12823
0,25860
1,10852
0,12906
2,12846
0,11322
2,11262
0,24310
2,4951
0,20659
1,16863
0,19619
0,11256
0,4874
0,23515
2,13060
0,8671
2,14581
0,14490
2,22729
2,13044
0,13295
0,4941
0,11332
0,12922
0,24609
0,3618
0,20002
0,25864
2,9372
0,12902
0,12842
0,12813
0,12786
0,22133
1,6029
0,6514
1,8675
2,14744
0,17929
1,11266
2,18835
0,25029
0,13281
0,17519
0,16774
0,19998
0,1301
1,16600
2,8665
0,21455
1,18592
0,387
2,14329
1,589
2,10660
0,13458
2,13979
1,7095
2,9187
2,5297
0,2695
