label,index
0,10914
0,24689
1,10623
0,13998
0,23620
0,9628
0,13392
0,24332
1,6936
0,10633
1,10607
0,12821
0,12780
1,21279
0,12425
1,8690
0,4984
1,6932
1,12019
0,7429
0,19213
1,10652
0,10555
0,11989
0,19020
0,24170
0,21916
1,18822
0,20001
0,6088
1,24323
1,20829
1,11340
0,14992
1,11224
0,11241
0,24280
0,23553
1,8637
0,25473
1,20692
0,4788
1,9616
1,8618
1,11850
0,11924
0,17119
0,37
1,23968
0,25165
1,8679
0,11971
1,13934
0,24700
0,8344
1,16344
0,24635
0,14080
0,24697
0,33
0,24741
1,13514
0,12254
0,10173
0,22744
0,25035
1,17736
0,20650
0,22730
0,12888
0,14056
0,19199
0,13461
1,14017
0,13925
1,577
0,11960
1,9592
0,4939
1,9617
0,15504
0,16106
1,14371
0,580
1,9398
0,22601
0,25055
1,9411
0,12073
0,18629
0,13446
0,13827
1,9348
0,13943
0,12011
0,11278
1,9591
1,9473
1,11209
1,10151
1,12959
0,12429
1,11936
0,583
0,13466
1,14869
0,22554
0,11319
1,20844
0,15506
1,13279
1,18311
0,12808
0,12154
0,22555
1,20840
0,20874
0,10193
0,24752
0,9198
0,13480
0,23365
0,5049
0,24713
1,8699
0,25113
1,10700
1,8576
0,24386
1,11246
0,16630
0,16822
1,9539
0,21804
1,10664
1,12891
0,12792
0,19205
0,13938
1,7738
0,146
0,24320
0,21865
0,12926
0,1659
0,25483
0,12912
0,9322
0,13828
0,12826
1,10671
1,22081
0,147
0,18626
1,9419
0,15439
0,4983
1,10630
1,14239
1,10692
0,24729
0,11978
0,10610
0,10641
0,14885
1,24325
1,24335
0,23555
0,16631
1,20648
0,13376
0,19210
1,10665
1,12760
